File,Value
ActiveMoment.wav,1
water ii.wav,0.3
cricket.wav,0.86
eww slug.wav,0.18
r_0human19520_2-hq.wav,0.82
r_0human20292_99904-hq.wav,0.16
r_0human22388_117199-hq.wav,0.53
r_0human23312_146960-hq.wav,0.03
r_0human24011_156279-hq.wav,0.07
r_0human31532_118241-hq.wav,0.68
r_0human31781_266482-hq.wav,0.02
r_0human31962_129090-hq.wav,0.54
r_0human39932_8043-hq.wav,0.29
r_0human41980_215874-hq.wav,0.15
r_0human44311_126288-hq.wav,0.08
r_0human44713_6281-hq.wav,0.68
r_0human50865_118241-hq.wav,0.4
r_0human52285_626078-hq.wav,0.47
r_0human55495_36188-hq.wav,0.54
r_0human56873_707638-hq.wav,0.41
r_0human58407_43834-hq.wav,0.46
r_0human60482_719027-hq.wav,0.21
r_0human66607_800302-hq.wav,0.14
r_0human69146_988961-hq.wav,0.2
r_0human73108_36188-hq.wav,0.58
r_0human75265_143133-hq.wav,0.45
r_0human76849_7037-hq.wav,0.32
r_0human77372_1173265-hq.wav,0.42
r_0human80280_1123190-hq.wav,0.18
r_0human80688_344584-hq.wav,0.66
r_0human82703_634166-hq.wav,0.09
r_0human83360_791247-hq.wav,0.04
r_0human101979_1313063-hq.wav,0.78
r_0human102617_425689-hq.wav,0.81
r_0human106261_1707984-hq.wav,0.6
r_0human106568_7037-hq.wav,0.02
r_0human113598_1015240-hq.wav,0.04
r_0human115208_1143716-hq.wav,0.66
r_0human117503_2101324-hq.wav,0.71
r_0human118096_29541-hq.wav,0.84
r_0human125859_43-hq.wav,0.74
r_0human127590_1648170-hq.wav,0.61
r_0human128097_2338419-hq.wav,0.34
r_0human128768_806506-hq.wav,0.54
r_0human129783_1188483-hq.wav,0.66
r_0human131402_2337290-hq.wav,0.19
r_0human138091_1839281-hq.wav,0.37
r_0human140140_43-hq.wav,0.8
r_0human143651_1924005-hq.wav,0.85
r_0human144024_2588050-hq.wav,0.62
r_0human147543_591423-hq.wav,0.41
r_0human147643_2587501-hq.wav,0.08
r_0human148009_2577970-hq.wav,0.04
r_0human150850_826206-hq.wav,0.5
r_0human151060_2400359-hq.wav,0.53
r_0human156040_2558789-hq.wav,0.31
r_0human156847_2730748-hq.wav,0.49
r_0human161417_2895542-hq.wav,0.43
r_0human162024_43-hq.wav,0.36
r_0human162620_2111976-hq.wav,0.44
r_0human163496_2896221-hq.wav,0.12
r_0human166175_1773681-hq.wav,0.64
r_0human171120_2140699-hq.wav,0.19
r_0human172230_1038806-hq.wav,0.46
r_0human178989_2417094-hq.wav,0.52
r_0human179928_3223507-hq.wav,0.69
