File,Features,Value
r_0human171120_2140699-hq.wav,"[ 6.24724198e-04  1.57024607e-03  2.66325707e-03  4.17942734e+01
  6.21414452e+01 -1.62977509e+02 -2.36843166e+01 -2.48379040e+01
 -2.35270824e+01  1.94693886e-04  3.85146908e-04  1.41443903e-04
  3.35627643e-04  4.55826637e-04  7.63031596e-04 -4.35891914e+01
  1.82769835e+00  1.92567849e+00  1.84708750e+00  1.60495639e+00]",[0.22954051]
Simmer ii.wav,"[ 8.39092627e-06  8.52709309e-06  2.16894714e-05  2.34584123e-01
  5.23487389e-01 -4.72074509e+01 -1.79064083e+01 -1.83519859e+01
 -1.78853550e+01  1.21789378e-06  2.04341745e-06  1.77742538e-06
  1.43201498e-06  2.06913296e-06  2.37655559e-06  4.74211655e+01
  4.15611386e-01  4.04237211e-01  4.42096680e-01  3.71099204e-01]",[0.61356164]
r_0mechanical134783_2244250-hq.wav,"[ 6.17519763e-05  8.66755654e-05  2.38924447e-04  2.08839035e+00
  5.91910744e+00 -8.90866547e+01 -2.24168568e+01 -2.27669487e+01
 -2.24124546e+01  1.95121138e-05  2.06066343e-05  1.14518052e-05
  2.54165370e-05  1.84516848e-05  4.04601742e-05  4.15107117e+01
  1.75223029e+00  1.83613074e+00  1.84709382e+00  1.52009404e+00]",[0.58263745]
r_0human69146_988961-hq.wav,"[ 1.96958566e-03  2.36986601e-03  1.85387325e-03  4.48405952e+01
  4.14811363e+01 -1.36857620e+02 -2.59156780e+01 -2.62672863e+01
 -2.54728622e+01  8.21422145e-04  3.56800534e-04  3.47020454e-04
  6.85448758e-04  4.99137677e-04  4.40137897e-04 -1.38507090e+01
  1.74566627e+00  1.71927631e+00  1.64914548e+00  1.30218470e+00]",[0.33792063]
r_0society46348_28867-hq.wav,"[ 7.27721548e-04  7.17990275e-04  8.66577437e-04  1.82568874e+01
  1.87397785e+01 -1.25773056e+02 -3.48627586e+01 -3.67845383e+01
 -3.55681877e+01  1.26647719e-04  1.55286078e-04  1.42054778e-04
  1.53174566e-04  1.64069876e-04  1.73116816e-04 -1.95328999e+01
  1.74720502e+00  1.76736367e+00  1.82798338e+00  1.53805637e+00]",[0.58103114]
r_0nature51172_179538-hq.wav,"[ 1.45682739e-03  1.08066888e-03  7.09554530e-04  1.64868793e+01
  1.58307037e+01 -1.10059181e+02 -3.40355339e+01 -3.41874008e+01
 -3.40215683e+01  2.46657000e-04  1.35513299e-04  2.28662611e-04
  3.88200569e-04  1.84255638e-04  1.89200509e-04 -9.29619789e+00
  1.69619858e+00  1.61185610e+00  1.68617213e+00  1.23841357e+00]",[0.56985643]
r_0society49599_571325-hq.wav,"[ 1.08399917e-03  9.01570078e-04  2.20835791e-03  1.27698565e+01
  5.18305397e+01 -1.40027557e+02 -3.00152798e+01 -3.01581383e+01
 -2.99607658e+01  2.12849001e-04  1.07953834e-04  1.87899743e-04
  3.65360233e-04  1.69505860e-04  2.35589439e-04 -3.59973869e+01
  1.74687660e+00  1.62252116e+00  1.53191197e+00  1.18633151e+00]",[0.43395177]
r_0quiet190573_1648170-hq.wav,"[ 4.19422839e-04  4.21677221e-04  3.49859125e-04  7.46357679e+00
  7.81121874e+00 -5.12885437e+01 -3.72555122e+01 -3.84746208e+01
 -3.89598503e+01  1.46500955e-04  5.85617163e-05  7.23298872e-05
  1.35342416e-04  6.86957210e-05  6.32972879e-05  3.25197792e+01
  1.62693179e+00  1.49816859e+00  1.46525896e+00  1.25876307e+00]",[0.63082024]
r_0quiet150190_772944-hq.wav,"[ 2.30820558e-04  1.41066033e-04  1.22331010e-04  3.17839789e+00
  2.79000473e+00 -2.10465755e+01 -2.76071949e+01 -2.80961266e+01
 -2.79062252e+01  2.73605856e-05  2.58934524e-05  4.88411060e-05
  3.99120909e-05  3.95677416e-05  3.07850642e-05  6.02650795e+01
  1.60531878e+00  1.48847270e+00  1.45257890e+00  1.24481571e+00]",[0.67818186]
r_0human31532_118241-hq.wav,"[ 7.74947766e-05  2.66112067e-04  5.01953473e-04  7.63529015e+00
  1.30450134e+01 -6.45478058e+01 -5.88763695e+01 -5.94174385e+01
 -5.97748985e+01  3.15961188e-05  7.08309235e-05  1.19464103e-05
  4.42707715e-05  3.32444433e-05  7.32197295e-05  2.05630016e+01
  1.12206447e+00  1.12406313e+00  1.05853128e+00  6.24871135e-01]",[0.64214483]
